task,sensor_bundle,exp_name,seed,mean_eval_reward,old_code,k_forces,n_samples,representation,width,r2_mean,r2_per_channel,rmse_per_channel_N,val_loc_err
downwards_rotate,baseline,TesolloDownwardsRotateZ-20260625-201219-downwardsrotatez_sb_baseline_s1,1,14.3902,False,5,7680,input,56,0.648,0.6713;0.7153;0.729;0.6102;0.514,0.9351;0.8286;0.7636;0.795;0.8745,0.00e+00
downwards_rotate,baseline,TesolloDownwardsRotateZ-20260625-201219-downwardsrotatez_sb_baseline_s1,1,14.3902,False,5,7680,hidden_0,512,0.7099,0.7207;0.74;0.7921;0.6737;0.6229,0.862;0.7918;0.6687;0.7274;0.7703,0.00e+00
downwards_rotate,baseline,TesolloDownwardsRotateZ-20260625-201219-downwardsrotatez_sb_baseline_s1,1,14.3902,False,5,7680,hidden_1,256,0.7141,0.7276;0.7397;0.7922;0.6909;0.6203,0.8513;0.7923;0.6687;0.7079;0.773,0.00e+00
downwards_rotate,baseline,TesolloDownwardsRotateZ-20260625-201219-downwardsrotatez_sb_baseline_s1,1,14.3902,False,5,7680,hidden_2,128,0.6921,0.7067;0.7279;0.7653;0.6743;0.5862,0.8833;0.8101;0.7106;0.7266;0.807,0.00e+00
downwards_rotate,force.magnitude,TesolloDownwardsRotateZ-20260625-124824-downwardsrotatez_sb_forcemagnitude_s0,0,14.4489,False,5,7680,input,61,1.0,1.0;1.0;1.0;1.0;1.0,0.0054;0.0046;0.0039;0.0035;0.0017,0.00e+00
downwards_rotate,force.magnitude,TesolloDownwardsRotateZ-20260625-124824-downwardsrotatez_sb_forcemagnitude_s0,0,14.4489,False,5,7680,hidden_0,512,0.9988,0.9988;0.9988;0.9988;0.9989;0.999,0.0621;0.0492;0.0497;0.0475;0.0268,0.00e+00
downwards_rotate,force.magnitude,TesolloDownwardsRotateZ-20260625-124824-downwardsrotatez_sb_forcemagnitude_s0,0,14.4489,False,5,7680,hidden_1,256,0.9299,0.944;0.9647;0.9622;0.9619;0.8167,0.4227;0.2719;0.2747;0.2752;0.3581,0.00e+00
downwards_rotate,force.magnitude,TesolloDownwardsRotateZ-20260625-124824-downwardsrotatez_sb_forcemagnitude_s0,0,14.4489,False,5,7680,hidden_2,128,0.8304,0.8735;0.9029;0.8963;0.8676;0.612,0.6355;0.4509;0.4549;0.5129;0.5211,0.00e+00
downwards_rotate,proprio.delta,TesolloDownwardsRotateZ-20260626-033945-downwardsrotatez_sb_propriodelta_s2,2,14.107,False,5,7680,input,82,0.6418,0.6669;0.7706;0.8162;0.3968;0.5587,0.9557;0.6576;0.6553;1.4319;0.4755,0.00e+00
downwards_rotate,proprio.delta,TesolloDownwardsRotateZ-20260626-033945-downwardsrotatez_sb_propriodelta_s2,2,14.107,False,5,7680,hidden_0,512,0.7029,0.7091;0.781;0.844;0.4172;0.7633,0.8932;0.6425;0.6036;1.4075;0.3482,0.00e+00
downwards_rotate,proprio.delta,TesolloDownwardsRotateZ-20260626-033945-downwardsrotatez_sb_propriodelta_s2,2,14.107,False,5,7680,hidden_1,256,0.6954,0.7044;0.7828;0.8422;0.4344;0.7132,0.9004;0.6399;0.6072;1.3865;0.3833,0.00e+00
downwards_rotate,proprio.delta,TesolloDownwardsRotateZ-20260626-033945-downwardsrotatez_sb_propriodelta_s2,2,14.107,False,5,7680,hidden_2,128,0.6581,0.676;0.774;0.8157;0.4154;0.6096,0.9426;0.6527;0.6561;1.4097;0.4473,0.00e+00
downwards_rotate,proprio.target,TesolloDownwardsRotateZ-20260626-072314-downwardsrotatez_sb_propriotarget_s1,1,13.7887,False,5,7680,input,82,0.7055,0.7583;0.7777;0.7657;0.6904;0.5353,0.832;0.7093;0.7042;0.7772;0.5209,0.00e+00
downwards_rotate,proprio.target,TesolloDownwardsRotateZ-20260626-072314-downwardsrotatez_sb_propriotarget_s1,1,13.7887,False,5,7680,hidden_0,512,0.7527,0.7853;0.7918;0.7937;0.7138;0.6788,0.7841;0.6864;0.6608;0.7472;0.4331,0.00e+00
downwards_rotate,proprio.target,TesolloDownwardsRotateZ-20260626-072314-downwardsrotatez_sb_propriotarget_s1,1,13.7887,False,5,7680,hidden_1,256,0.7338,0.7758;0.7919;0.7919;0.7153;0.5943,0.8013;0.6863;0.6636;0.7452;0.4867,0.00e+00
downwards_rotate,proprio.target,TesolloDownwardsRotateZ-20260626-072314-downwardsrotatez_sb_propriotarget_s1,1,13.7887,False,5,7680,hidden_2,128,0.6988,0.748;0.7822;0.7728;0.6838;0.5073,0.8494;0.7021;0.6933;0.7854;0.5364,0.00e+00
pinch,baseline,TesolloCubePinch-20260622-204625-cubepinch_sb_baseline_s3,3,21.3777,False,2,5120,input,17,0.6446,0.5095;0.7797,0.719;0.2875,0.00e+00
pinch,baseline,TesolloCubePinch-20260622-204625-cubepinch_sb_baseline_s3,3,21.3777,False,2,5120,hidden_0,256,0.792,0.7465;0.8376,0.5169;0.2469,0.00e+00
pinch,baseline,TesolloCubePinch-20260622-204625-cubepinch_sb_baseline_s3,3,21.3777,False,2,5120,hidden_1,128,0.7987,0.7627;0.8347,0.5001;0.249,0.00e+00
pinch,baseline,TesolloCubePinch-20260622-204625-cubepinch_sb_baseline_s3,3,21.3777,False,2,5120,hidden_2,64,0.7382,0.6765;0.7999,0.584;0.274,0.00e+00
pinch,none,TesolloCubePinch-20260622-200126-cubepinch_sb_none_s2,2,11.4878,False,2,5120,input,1,0.0487,0.0641;0.0333,0.9994;0.831,0.00e+00
pinch,none,TesolloCubePinch-20260622-200126-cubepinch_sb_none_s2,2,11.4878,False,2,5120,hidden_0,256,0.3201,0.3401;0.3001,0.8392;0.7071,0.00e+00
pinch,none,TesolloCubePinch-20260622-200126-cubepinch_sb_none_s2,2,11.4878,False,2,5120,hidden_1,128,0.4397,0.406;0.4734,0.7962;0.6133,0.00e+00
