task,queue,env_name,exp_name,sensor_bundle,seed,rollout_idx,step,time_s,force_target,finger_force_sum,effective_force,f_thumb,f_index,success_per_step,reward,env_code_commit
pinch,pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-202344-cubepinch_sb_baseline_s1,baseline,1,0,0,0.0,3.602274,0.0,0.0,0.0,0.0,0,0.055093,3682863
pinch,pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-202344-cubepinch_sb_baseline_s1,baseline,1,0,1,0.05,3.602274,0.0,0.0,0.0,0.0,0,0.057906,3682863
pinch,pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-202344-cubepinch_sb_baseline_s1,baseline,1,0,2,0.1,3.602274,2.007884,0.0,0.0,2.007884,0,0.061336,3682863
pinch,pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-202344-cubepinch_sb_baseline_s1,baseline,1,0,3,0.15,3.602274,5.716171,5.716171,3.00369,2.712481,0,0.148936,3682863
pinch,pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-202344-cubepinch_sb_baseline_s1,baseline,1,0,4,0.2,3.602274,2.938866,0.0,0.0,2.938866,0,0.061205,3682863
pinch,pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-202344-cubepinch_sb_baseline_s1,baseline,1,0,5,0.25,3.602274,5.07911,5.07911,2.572141,2.506968,0,0.20646,3682863
pinch,pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-202344-cubepinch_sb_baseline_s1,baseline,1,0,6,0.3,3.602274,4.833405,4.833405,2.660506,2.172899,0,0.227423,3682863
pinch,pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-202344-cubepinch_sb_baseline_s1,baseline,1,0,7,0.35,3.602274,4.928316,4.928316,2.434371,2.493945,0,0.219656,3682863
pinch,pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-202344-cubepinch_sb_baseline_s1,baseline,1,0,8,0.4,3.602274,4.602481,4.602481,2.392832,2.209649,0,0.245478,3682863
pinch,pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-202344-cubepinch_sb_baseline_s1,baseline,1,0,9,0.45,3.602274,5.051609,5.051609,2.549278,2.50233,0,0.208573,3682863
