task,queue,env_name,exp_name,sensor_bundle,seed,rollout_idx,step,time_s,force_target,finger_force_sum,effective_force,f_thumb,f_index,success_per_step,reward,env_code_commit
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,0,0.0,2.060019,0.0,0.0,0.0,0.0,0,0.056293,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,1,0.05,2.14346,3.152518,0.0,0.0,3.152518,0,0.06,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,2,0.1,2.260303,6.477243,6.477243,3.321319,3.155924,0,0.035623,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,3,0.15,2.407672,7.275565,7.275565,3.932352,3.343213,0,0.035799,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,4,0.2,2.581938,6.67646,6.67646,3.367719,3.308742,0,0.036456,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,5,0.25,2.778809,6.787995,6.787995,3.462301,3.325694,0,0.037624,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,6,0.3,2.993439,3.773391,0.0,3.773391,0.0,0,0.060257,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,7,0.35,3.220541,7.442784,7.442784,3.755843,3.686941,0,0.039788,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,8,0.4,3.454525,8.29657,8.29657,3.820538,4.476032,0,0.036274,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,9,0.45,3.689629,7.257386,7.257386,3.856373,3.401013,0,0.063565,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,10,0.5,3.920064,7.163531,7.163531,3.906862,3.256669,0,0.086367,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,11,0.55,4.140154,7.895836,7.895836,4.675371,3.220465,0,0.072534,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,12,0.6,4.344483,7.316858,7.316858,4.452358,2.864501,0,0.119503,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,13,0.65,4.528017,6.560061,6.560061,4.02507,2.534991,0,0.191303,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,14,0.7,4.686238,2.449024,0.0,0.0,2.449024,0,0.058739,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,15,0.75,4.81525,7.276877,7.276877,4.093241,3.183637,0,0.170557,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,16,0.8,4.911877,6.766156,6.766156,3.912733,2.853423,0,0.212824,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,17,0.85,4.973738,6.443991,6.443991,3.834565,2.609426,0,0.237666,3682863
