task,queue,env_name,exp_name,sensor_bundle,seed,rollout_seed,step,time_s,f_thumb,f_index,f_total,env_code_commit
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,0,0,0.0,0.0,0.0,0.0,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,0,1,0.05,0.0,0.0,0.0,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,0,2,0.1,0.0,0.0,0.0,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,0,3,0.15,2.18314,0.0,2.18314,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,0,4,0.2,2.72518,0.0,2.72518,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,0,5,0.25,2.76536,2.34355,5.10891,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,0,6,0.3,2.29148,2.05118,4.34265,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,0,7,0.35,0.0,0.0,0.0,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,0,8,0.4,2.89292,2.08764,4.98057,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,0,9,0.45,3.08054,2.42543,5.50597,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,0,10,0.5,3.08556,1.93324,5.01879,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,0,11,0.55,2.89342,2.18393,5.07735,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,0,12,0.6,3.25608,1.90831,5.16439,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,0,13,0.65,12.31489,1.78751,14.10241,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,0,14,0.7,7.64396,1.37308,9.01705,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,0,15,0.75,4.23111,1.62802,5.85913,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,0,16,0.8,2.80347,1.42897,4.23244,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,0,17,0.85,2.18526,1.46851,3.65377,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,0,18,0.9,2.03458,1.50585,3.54043,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,0,19,0.95,2.19524,1.57026,3.76551,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,0,20,1.0,2.21728,1.67636,3.89364,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,0,21,1.05,2.74417,1.8257,4.56987,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,0,22,1.1,2.97494,1.97883,4.95377,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,0,23,1.15,2.95475,2.10569,5.06044,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,0,24,1.2,2.87679,2.21401,5.0908,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,0,25,1.25,2.86023,2.30815,5.16838,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,0,26,1.3,2.83844,2.38565,5.22409,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,0,27,1.35,2.82792,2.47057,5.29849,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,0,28,1.4,2.77739,2.22938,5.00677,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,0,29,1.45,2.7745,2.09063,4.86513,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,0,30,1.5,2.82527,2.0422,4.86747,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260624-142357,TesolloCubePinch,TesolloCubePinch-20260624-145808-cubepinch_sb_baseline_s8,baseline,8,0,31,1.55,2.8017,1.93812,4.73983,3682863
