queue,env_name,exp_name,sensor_bundle,seed,run_idx,result,domain_randomization,cube_size_min,cube_size_max,cube_mass_dr_min,cube_mass_dr_max,cube_pos_dr_min,cube_pos_dr_max,obs_noise_level,obs_noise_scale_joint_pos,obs_noise_scale_joint_vel,obs_noise_scales_json,perturbation_enable,force_target_sinusoid,force_target_period,force_target_range_min,force_target_range_max
pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-195023-cubepinch_sb_none_s1,none,1,0,ok,True,0.85,1.15,1.0,1.0,0.0,0.0,0.0,0.001,0.01,"{""fingertip_force_dirs"": 0.0, ""fingertip_forces"": 0.0, ""joint_pos"": 0.001, ""joint_vel"": 0.01, ""motor_targets"": 0.0}",False,,,2.0,5.0
pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-200126-cubepinch_sb_none_s2,none,2,1,ok,True,0.85,1.15,1.0,1.0,0.0,0.0,0.0,0.001,0.01,"{""fingertip_force_dirs"": 0.0, ""fingertip_forces"": 0.0, ""joint_pos"": 0.001, ""joint_vel"": 0.01, ""motor_targets"": 0.0}",False,,,2.0,5.0
pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-201232-cubepinch_sb_none_s3,none,3,2,ok,True,0.85,1.15,1.0,1.0,0.0,0.0,0.0,0.001,0.01,"{""fingertip_force_dirs"": 0.0, ""fingertip_forces"": 0.0, ""joint_pos"": 0.001, ""joint_vel"": 0.01, ""motor_targets"": 0.0}",False,,,2.0,5.0
pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-202344-cubepinch_sb_baseline_s1,baseline,1,3,ok,True,0.85,1.15,1.0,1.0,0.0,0.0,0.0,0.001,0.01,"{""fingertip_force_dirs"": 0.0, ""fingertip_forces"": 0.0, ""joint_pos"": 0.001, ""joint_vel"": 0.01, ""motor_targets"": 0.0}",False,,,2.0,5.0
pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-203506-cubepinch_sb_baseline_s2,baseline,2,4,ok,True,0.85,1.15,1.0,1.0,0.0,0.0,0.0,0.001,0.01,"{""fingertip_force_dirs"": 0.0, ""fingertip_forces"": 0.0, ""joint_pos"": 0.001, ""joint_vel"": 0.01, ""motor_targets"": 0.0}",False,,,2.0,5.0
pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-204625-cubepinch_sb_baseline_s3,baseline,3,5,ok,True,0.85,1.15,1.0,1.0,0.0,0.0,0.0,0.001,0.01,"{""fingertip_force_dirs"": 0.0, ""fingertip_forces"": 0.0, ""joint_pos"": 0.001, ""joint_vel"": 0.01, ""motor_targets"": 0.0}",False,,,2.0,5.0
pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-205744-cubepinch_sb_propriotarget_s1,proprio.target,1,6,ok,True,0.85,1.15,1.0,1.0,0.0,0.0,0.0,0.001,0.01,"{""fingertip_force_dirs"": 0.0, ""fingertip_forces"": 0.0, ""joint_pos"": 0.001, ""joint_vel"": 0.01, ""motor_targets"": 0.0}",False,,,2.0,5.0
pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-210903-cubepinch_sb_propriotarget_s2,proprio.target,2,7,ok,True,0.85,1.15,1.0,1.0,0.0,0.0,0.0,0.001,0.01,"{""fingertip_force_dirs"": 0.0, ""fingertip_forces"": 0.0, ""joint_pos"": 0.001, ""joint_vel"": 0.01, ""motor_targets"": 0.0}",False,,,2.0,5.0
pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-212024-cubepinch_sb_propriotarget_s3,proprio.target,3,8,ok,True,0.85,1.15,1.0,1.0,0.0,0.0,0.0,0.001,0.01,"{""fingertip_force_dirs"": 0.0, ""fingertip_forces"": 0.0, ""joint_pos"": 0.001, ""joint_vel"": 0.01, ""motor_targets"": 0.0}",False,,,2.0,5.0
pinch_sweep_size_rand-20260622-195014,TesolloCubePinch,TesolloCubePinch-20260622-213146-cubepinch_sb_forcemagnitude_s1,force.magnitude,1,9,ok,True,0.85,1.15,1.0,1.0,0.0,0.0,0.0,0.001,0.01,"{""fingertip_force_dirs"": 0.0, ""fingertip_forces"": 0.0, ""joint_pos"": 0.001, ""joint_vel"": 0.01, ""motor_targets"": 0.0}",False,,,2.0,5.0
